[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 17:00:52|2105M    0     0  1009M|   0     0 |0.2 0.0 100 0.0   0   0|0.04 0.14 0.06
05-09 17:00:53|2105M    0     0  1009M| 104B    0 |0.2   0 100   0   0   0|0.04 0.14 0.06
05-09 17:00:54|2105M    0     0  1009M| 168B 1136B|0.2   0 100   0   0   0|0.04 0.14 0.06
05-09 17:00:55|2105M    0     0  1009M| 240B  100B|  0   0 100   0   0   0|0.04 0.14 0.06
05-09 17:00:56|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.04 0.14 0.06
05-09 17:00:57|2158M    0     0   956M| 136B 84.0B| 14 1.2  85   0   0   0|0.04 0.14 0.06
05-09 17:00:58|2105M    0     0  1009M| 104B  280B|4.7 0.8  95   0   0   0|0.04 0.13 0.06
05-09 17:00:59|2105M    0     0  1009M|   0     0 |0.2   0 100   0   0   0|0.04 0.13 0.06
05-09 17:01:00|2105M    0     0  1009M|52.0B  100B|  0   0 100   0   0   0|0.04 0.13 0.06
05-09 17:01:01|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.04 0.13 0.06
05-09 17:01:02|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.04 0.13 0.06
05-09 17:01:03|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:04|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:05|2105M    0     0  1009M|   0     0 |  0 0.2 100   0   0   0|0.03 0.13 0.06
05-09 17:01:06|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:07|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:08|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:09|2105M    0     0  1009M|   0     0 |  0 0.2 100   0   0   0|0.03 0.13 0.06
05-09 17:01:10|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:11|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:12|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:13|2105M    0     0  1009M| 168B  104B|  0   0 100   0   0   0|0.03 0.13 0.06
05-09 17:01:14|2107M    0     0  1008M| 324B  516B|1.6 0.4  98   0   0   0|0.03 0.13 0.06
