[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
  date/time   | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
25-08 17:33:36| 973M  109M  813M  108M|   0     0 |9.8 3.7  85 1.4 0.0 0.1|0.12 0.08 0.10
25-08 17:33:37| 973M  109M  813M  107M| 147B 2228B| 10 5.8  84   0   0   0|0.12 0.08 0.10
25-08 17:33:38| 973M  109M  813M  107M| 512B 82.0B|7.3 4.9  85 2.9   0   0|0.11 0.08 0.10
25-08 17:33:39| 973M  109M  813M  108M| 147B  191B|6.4 2.9  91   0   0   0|0.11 0.08 0.10
25-08 17:33:40| 974M  109M  812M  108M|   0     0 |6.2 1.9  92   0   0   0|0.11 0.08 0.10
25-08 17:33:41| 973M  109M  812M  108M| 188B  217B|7.2 3.3  89   0   0   0|0.11 0.08 0.10
25-08 17:33:42| 973M  109M  812M  108M|   0     0 |4.4 2.9  93   0   0   0|0.11 0.08 0.10
25-08 17:33:43| 973M  109M  812M  108M| 189B  249B|5.8 3.4  91   0   0   0|0.10 0.07 0.10
25-08 17:33:44| 973M  110M  813M  107M| 150B  194B|9.6 6.7  75 9.1   0   0|0.10 0.07 0.10
25-08 17:33:45| 973M  110M  813M  108M|   0     0 |6.8 2.4  91   0   0   0|0.10 0.07 0.10
25-08 17:33:46| 973M  110M  813M  107M| 150B  194B|8.2 5.8  86   0   0   0|0.10 0.07 0.10
25-08 17:33:47| 973M  110M  813M  107M|   0     0 |6.8 3.4  90   0   0   0|0.10 0.07 0.10
25-08 17:33:48| 973M  110M  812M  108M|   0     0 |6.7 2.9  87 3.4   0   0|0.09 0.07 0.10
25-08 17:33:49| 996M  110M  813M 85.4M|   0     0 | 36 5.9  57 1.5   0   0|0.09 0.07 0.10
25-08 17:33:50|1018M  110M  812M 63.7M| 150B  194B| 50 4.0  46   0   0   0|0.09 0.07 0.10
